3,E,0.10875014678
B,P,0.469658743951
H,1,0.0794834887183
Q,O,0.608826504419
9,D,0.729996089863
Z,5,0.90759685745
6,G,0.528409000171
C,V,0.725927246885
Q,2,0.651767930068
K,C,0.510895518047
L,H,0.318150205385
K,4,0.789448115969
1,I,0.119469309568
G,6,0.841858438478
Y,R,0.416485990204
P,9,0.626390553482
H,Q,0.247339072645
G,5,0.293007715861
E,J,0.128318409886
T,M,0.227288386399
6,E,0.732135256598
2,S,0.511121963051
S,3,0.372900415593
7,8,0.211751300319
A,F,0.187200895111
N,G,0.850105575418
B,G,0.575021848627
0,8,0.158785447042
6,B,0.246266032575
O,P,0.618443666063
9,Z,0.179380392081
S,Z,0.72505228
H,R,0.176313883654
S,L,0.231140052455
8,3,0.172170717364
M,2,0.357221673449
6,I,0.555100330749
G,C,0.16603572587
6,T,0.831869264013
C,E,0.596278927947
5,N,0.286338294835
N,5,0.756005528351
B,V,0.412632119304
F,N,0.493046707889
K,8,0.294627474963
G,D,0.109167665646
R,Q,0.17567802445
M,C,0.85149202364
0,J,0.469230731961
F,4,0.614250433451
Y,U,0.547607287607
M,H,0.396826841632
N,G,0.400085906739
L,4,0.85434227
V,3,0.157631333951
8,C,0.239909246751
K,M,0.748884446263
2,E,0.255258330044
N,I,0.462133359015
J,2,0.794866990739
J,V,0.384107336003
I,1,0.692642277247
H,Q,0.954124896246
M,7,0.828793484226
D,H,0.196515571077
N,W,0.800914373589
X,K,0.847807354016
7,2,0.300841993543
F,U,0.283194183639
S,6,0.588208270061
Y,N,0.103424242788
X,M,0.925288368298
2,4,0.727584894696
F,H,0.504307602107
X,Z,0.402388097649
N,Q,0.824805223239
P,D,0.862485725616
O,8,0.307241292911
S,1,0.375121692279
W,Z,0.784849189515
F,M,0.616509817153
L,I,0.863083274083
J,S,0.0869229071421
8,4,0.345506964919
B,Y,0.192702596431
R,H,0.186112620108
G,D,0.0090672153743
F,4,0.494404095398
A,3,0.953660117227
G,X,0.0183984244686
T,8,0.541870421981
G,Y,0.863967122558
B,L,0.877653198446
0,1,0.950494450235
1,L,0.0909881772993
7,Y,0.539258837382
U,7,0.791127483349
9,Q,0.441966142337
J,G,0.641729073638
N,D,0.0502410479573
Q,8,0.712696391161
O,3,0.729578030014
K,D,0.321446311072
C,7,0.201536198591
Q,C,0.586740349186
Y,T,0.920635991054
2,V,0.366086143158
X,U,0.494900297068
1,Q,0.846878277466
E,M,0.97890872891
I,S,0.982383624748
Z,5,0.457541449945
9,B,0.626056533213
Z,D,0.84659745345
Y,O,0.579689010566
H,T,0.306392193787
F,P,0.741804762013
U,7,0.966290853601
6,X,0.712649988683
V,A,0.551451061626
O,U,0.284686791556
B,F,0.731045905509
4,B,0.962845838896
T,0,0.976993619372
8,M,0.554530717467
B,1,0.0705508839411
W,7,0.130153953071
F,X,0.478986721469
R,J,0.268731645944
0,P,0.43859447692
X,E,0.566422379093
5,V,0.911528034351
L,E,0.514885599236
7,P,0.664484009728
Q,T,0.759348394825
3,B,0.892554574965
X,C,0.202972083432
A,B,0.472341156589
W,Y,0.780655689983
R,9,0.60181955872
4,2,0.834404542485
Y,Q,0.845328807433
D,2,0.75877190768
X,I,0.321145038045
I,2,0.824611381206
U,J,0.354319384901
E,N,0.0373776517217
Y,F,0.374099286983
5,K,0.464092534662
D,W,0.622785337672
0,R,0.382523913671
Q,4,0.41359247316
F,4,0.462709349761
0,4,0.45425067625
I,2,0.601437471937
I,T,0.16332470025
S,J,0.211621402771
